danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,7,6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato)
0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,2,3cHyrEgdyYRjgJKSOiOtcS,Timber
0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,2,12zpU2S4lMdrK9dvsOoL1m,I Love It (feat. Charli XCX)
0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,236002,2,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
0.842,0.488,-7.856,0.0844,0.218,0.00718,0.0877,0.647,126.019,164955,2,2dQzfKRaMKUCQgMpOtpLTh,Bella Ciao - HUGEL Remix
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,222091,0,4lLtanYk6tkMvooU0tWzG8,Grenade
0.206,0.81,-6.492,0.0423,5.93e-05,0.0644,0.0855,0.155,163.552,268200,4,2j7z87EnqB1NFQts2db0VR,Don't Change
0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,79.983,261640,0,2MfOcbtgz2yTsiznFmVZUN,Halo
0.551,0.914,-4.063,0.0465,0.0263,1.35e-05,0.347,0.543,119.994,224493,7,0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life
0.567,0.49,-10.867,0.0414,0.79,1.42e-05,0.0919,0.847,134.923,153333,5,69RH84na5iUNwrwxpgjC5j,Where Did Our Love Go
0.473,0.652,-10.171,0.0305,0.0132,1.13e-05,0.14,0.401,140.117,340200,0,0wokCRaKD0zPNhMRXAgVsr,Ordinary World
0.518,0.901,-3.749,0.093,0.174,0.0314,0.0712,0.873,115.026,254933,2,7EsjkelQuoUlJXEw7SeVV4,Black or White
0.465,0.814,-11.043,0.0351,0.238,0.00379,0.098,0.855,203.824,226067,4,4I3nztDQ3cPajQtzg59tWx,Don't Get Me Wrong
0.629,0.545,-13.123,0.0546,0.719,0.00308,0.0604,0.194,108.376,298933,5,1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal With God)
0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,0,7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am)
0.817,0.599,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873,245640,2,2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger
0.599,0.732,-6.843,0.026,0.0145,0.000467,0.143,0.295,97.997,263867,0,2Ms33RTRCT6gArrpcrPxmo,Feel
0.32,0.917,-5.903,0.0771,0.0717,0.0,0.169,0.715,190.757,188360,4,15tHagkk8z306XkyOHqiip,"I'll Be There for You - Theme From ""Friends"""
0.735,0.72,-7.04,0.336,0.00105,0.15,0.382,0.364,124.174,403293,7,303ccTay2FiDTZ9fZ2AdBt,Music Sounds Better With You
0.605,0.913,-4.345,0.0376,0.00159,0.0,0.0813,0.665,139.941,230960,4,3Voz5vnFfMu8nrVP6hIYte,This Is How a Heart Breaks
